Time	EMG	Muscle Force
18.703	1.81476	0.27806
18.704	2.06896	0.27806
18.705	1.57468	0.27806
18.706	0.385401	0.277683
18.707	-1.33483	0.27806
18.708	-3.2959	0.277683
18.709	-5.12521	0.27806
18.71	-6.44723	0.27806
18.711	15.9139	0.27806
18.712	11.388	0.27806
18.713	-14.886	0.27806
18.714	1.14508	0.27806
18.715	-2.26019	0.27806
18.716	-0.860945	0.27806
18.717	0.0729184	0.27806
18.718	0.536002	0.27806
18.719	0.680095	0.27806
18.72	0.712077	0.27806
18.721	0.768125	0.27806
18.722	0.857388	0.27806
18.723	0.826788	0.27806
18.724	0.476796	0.27806
18.725	-0.36256	0.27806
18.726	-1.70565	0.27806
18.727	-3.36587	0.27806
18.728	-11.3464	0.27806
18.729	9.39826	0.27806
18.73	17.7872	0.27806
18.731	-6.26682	0.27806
18.732	-5.10116	0.27806
18.733	-3.44247	0.27806
18.734	-1.64659	0.27806
18.735	-0.0460175	0.27806
18.736	1.12433	0.27806
18.737	1.72042	0.27806
18.738	1.73999	0.27806
18.739	1.27682	0.27806
18.74	0.403551	0.27806
18.741	-0.762604	0.27806
18.742	-2.09131	0.27806
18.743	-3.42853	0.27806
18.744	-2.20161	0.27806
18.745	5.25646	0.27806
18.746	0.0139554	0.27806
18.747	7.65934	0.27806
18.748	-4.71575	0.27806
18.749	-3.44464	0.277683
18.75	-1.90107	0.27806
18.751	-0.331424	0.27806
18.752	1.00094	0.27806
18.753	1.85643	0.27806
18.754	2.06397	0.27806
18.755	1.51474	0.27806
18.756	0.239998	0.27806
18.757	-1.54923	0.27806
18.758	-3.54534	0.27806
18.759	-5.36131	0.27806
18.76	-6.61684	0.27806
18.761	17.9259	0.27806
18.762	11.7488	0.27806
18.763	-16.6095	0.27806
18.764	0.51211	0.27806
18.765	-1.96897	0.27806
18.766	-0.601131	0.27806
18.767	0.267153	0.27806
18.768	0.658183	0.27806
18.769	0.747112	0.27806
18.77	0.747251	0.27806
18.771	0.786384	0.27806
18.772	0.855041	0.27806
18.773	0.777025	0.27806
18.774	0.340127	0.27806
18.775	-0.618986	0.277683
18.776	-2.09065	0.27806
18.777	-3.85511	0.277683
18.778	-9.31169	0.277683
18.779	9.64217	0.27806
18.78	16.717	0.277683
18.781	-6.55189	0.27806
18.782	-5.22749	0.27806
18.783	-3.42426	0.27806
18.784	-1.5241	0.277683
18.785	0.125667	0.277683
18.786	1.28741	0.277683
18.787	1.85513	0.277683
18.788	1.80865	0.277683
18.789	1.25361	0.27806
18.79	0.268158	0.27806
18.791	-1.02213	0.27806
18.792	-2.46543	0.277683
18.793	-3.86793	0.277683
18.794	-0.984006	0.277683
18.795	5.94504	0.277683
18.796	-1.41946	0.27806
18.797	7.09625	0.27806
18.798	-3.87888	0.27806
18.799	-2.48263	0.27806
18.8	-1.16202	0.277683
18.801	-0.1864	0.277683
18.802	0.314684	0.277683
18.803	0.388978	0.277683
18.804	0.235001	0.277683
18.805	0.0845354	0.277683
18.806	0.141863	0.277683
18.807	0.527686	0.277683
18.808	1.18372	0.27806
18.809	1.9339	0.277683
18.81	2.55355	0.277683
18.811	-20.7329	0.277683
18.812	21.1487	0.277683
18.813	-10.2668	0.277683
18.814	5.13888	0.277683
18.815	0.358802	0.277683
18.816	-0.466851	0.277683
18.817	-0.975861	0.277683
18.818	-1.0498	0.277683
18.819	-0.680536	0.277683
18.82	0.00846456	0.277683
18.821	0.778992	0.277683
18.822	1.34788	0.277683
18.823	1.42064	0.277683
18.824	0.825302	0.277683
18.825	-0.457138	0.277683
18.826	-2.25018	0.277683
18.827	-4.21337	0.277683
18.828	-7.93005	0.277683
18.829	8.98956	0.277683
18.83	15.6298	0.277683
18.831	-6.53034	0.277683
18.832	-5.09947	0.277683
18.833	-3.24844	0.277683
18.834	-1.348	0.277683
18.835	0.270351	0.277683
18.836	1.37872	0.277683
18.837	1.90263	0.277683
18.838	1.79124	0.277683
18.839	1.15752	0.277683
18.84	0.0919925	0.277683
18.841	-1.26119	0.277683
18.842	-2.73053	0.277683
18.843	-4.1094	0.277683
18.844	0.610944	0.277683
18.845	6.751	0.277683
18.846	-2.92552	0.277683
18.847	6.30968	0.277683
18.848	-3.66011	0.277683
18.849	-2.25041	0.277683
18.85	-0.957817	0.277683
18.851	-0.0361675	0.277683
18.852	0.402652	0.277683
18.853	0.419071	0.277683
18.854	0.214352	0.277683
18.855	0.0206518	0.277683
18.856	0.0386258	0.277683
18.857	0.387281	0.277683
18.858	1.0143	0.277683
18.859	1.75411	0.277683
18.86	2.39208	0.277683
18.861	-19.2131	0.277683
18.862	21.3056	0.277683
18.863	-11.379	0.277683
18.864	4.64509	0.277683
18.865	0.548601	0.277683
18.866	-0.26213	0.277683
18.867	-0.795845	0.277683
18.868	-0.925691	0.277683
18.869	-0.62893	0.277683
18.87	-0.0152023	0.277683
18.871	0.693454	0.277683
18.872	1.22845	0.277683
18.873	1.3026	0.277683
18.874	0.746484	0.277683
18.875	-0.461751	0.277683
18.876	-2.15616	0.277683
18.877	-4.01437	0.277683
18.878	-6.84639	0.277683
18.879	8.06213	0.277683
18.88	14.7303	0.277683
18.881	-6.23258	0.277683
18.882	-4.87819	0.277683
18.883	-3.11015	0.277683
18.884	-1.27444	0.277683
18.885	0.311584	0.277683
18.886	1.41707	0.277683
18.887	1.9456	0.277683
18.888	1.82042	0.277683
18.889	1.13256	0.27806
18.89	-0.0362214	0.277683
18.891	-1.52892	0.277683
18.892	-3.14261	0.277683
18.893	-4.63224	0.277683
18.894	2.36958	0.277683
18.895	7.52754	0.277683
18.896	-3.98828	0.277683
18.897	5.77261	0.277683
18.898	-3.78559	0.277683
18.899	-2.24028	0.277683
18.9	-0.854049	0.277683
18.901	0.113107	0.277683
18.902	0.553982	0.277683
18.903	0.538707	0.277683
18.904	0.276698	0.277683
18.905	0.0102601	0.277683
18.906	-0.0532718	0.277683
18.907	0.212096	0.277683
18.908	0.766146	0.277683
18.909	1.45773	0.277683
18.91	2.08503	0.277683
18.911	-17.3463	0.277683
18.912	21.469	0.277683
18.913	-12.6291	0.277683
18.914	4.33172	0.277683
18.915	0.63191	0.277683
18.916	-0.127333	0.277683
18.917	-0.64863	0.277683
18.918	-0.801006	0.277683
18.919	-0.550545	0.277683
18.92	0.00457698	0.277683
